Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,3.49,3.60,3.42,3.49,24200,3.49
2013-04-25,3.45,3.50,3.40,3.48,11700,3.48
2013-04-24,3.43,3.45,3.36,3.45,8500,3.45
2013-04-23,3.41,3.43,3.40,3.40,6000,3.40
2013-04-22,3.40,3.41,3.37,3.40,2800,3.40
2013-04-19,3.40,3.41,3.40,3.40,3400,3.40
2013-04-18,3.37,3.40,3.34,3.38,5100,3.38
2013-04-17,3.38,3.39,3.12,3.34,7400,3.34
2013-04-16,3.36,3.39,3.35,3.37,3200,3.37
2013-04-15,3.33,3.40,3.23,3.39,6400,3.39
2013-04-12,3.33,3.38,3.01,3.37,20300,3.37
2013-04-11,3.40,3.40,3.26,3.28,19600,3.28
2013-04-10,3.40,3.40,3.25,3.40,8100,3.40
2013-04-09,3.36,3.39,3.26,3.39,3200,3.39
2013-04-08,3.35,3.39,3.30,3.39,5500,3.39
2013-04-05,3.33,3.39,3.25,3.39,2800,3.39
2013-04-04,3.28,3.39,3.28,3.39,3800,3.39
2013-04-03,3.27,3.39,3.26,3.39,3300,3.39
2013-04-02,3.35,3.37,3.30,3.36,2300,3.36
2013-04-01,3.35,3.40,3.30,3.36,7900,3.36
2013-03-28,3.24,3.35,3.24,3.33,5400,3.33
2013-03-27,3.25,3.30,3.25,3.30,4400,3.30
2013-03-26,3.35,3.35,3.25,3.27,7600,3.27
2013-03-25,3.39,3.39,3.35,3.35,3600,3.33
2013-03-22,3.30,3.40,3.29,3.38,15700,3.36
2013-03-21,3.30,3.33,3.30,3.30,1100,3.28
2013-03-20,3.34,3.34,3.09,3.34,3000,3.32
2013-03-19,3.35,3.35,3.10,3.34,2100,3.32
2013-03-18,3.36,3.36,3.30,3.33,2200,3.31
2013-03-15,3.40,3.40,3.35,3.37,1500,3.35
2013-03-14,3.45,3.45,3.38,3.40,900,3.38
2013-03-13,3.42,3.44,3.36,3.44,12300,3.42
2013-03-12,3.39,3.40,3.39,3.40,1300,3.38
2013-03-11,3.36,3.40,3.16,3.40,19100,3.38
2013-03-08,3.45,3.45,3.14,3.40,8900,3.38
2013-03-07,3.41,3.43,3.40,3.42,3300,3.40
2013-03-06,3.45,3.45,3.40,3.40,4600,3.38
2013-03-05,3.40,3.40,3.35,3.40,2600,3.38
2013-03-04,3.42,3.42,3.35,3.40,22900,3.38
2013-03-01,3.36,3.42,3.16,3.40,3300,3.38
2013-02-28,3.38,3.38,3.33,3.38,1300,3.36
2013-02-27,3.30,3.33,3.13,3.33,3800,3.31
2013-02-26,3.22,3.33,3.02,3.23,8000,3.21
2013-02-25,3.25,3.25,3.22,3.23,23100,3.21
2013-02-22,3.23,3.25,3.23,3.25,400,3.23
2013-02-21,3.42,3.42,3.03,3.20,5000,3.18
2013-02-20,3.19,3.24,3.11,3.23,2200,3.21
2013-02-19,3.11,3.30,3.11,3.21,28700,3.19
2013-02-15,3.25,3.27,3.18,3.25,1300,3.23
2013-02-14,3.22,3.35,3.19,3.29,1400,3.27
2013-02-13,3.40,3.40,3.04,3.35,5500,3.33
2013-02-12,3.38,3.42,3.38,3.42,3000,3.40
2013-02-11,3.36,3.41,3.36,3.39,1500,3.37
2013-02-08,3.40,3.42,3.27,3.42,2700,3.40
2013-02-07,3.40,3.42,3.40,3.41,3600,3.39
2013-02-06,3.35,3.45,3.35,3.40,5600,3.38
2013-02-05,3.33,3.35,3.33,3.35,900,3.33
2013-02-04,3.35,3.37,3.33,3.35,5600,3.33
2013-02-01,3.35,3.37,3.31,3.35,6100,3.33
2013-01-31,3.32,3.35,3.31,3.35,1500,3.33
2013-01-30,3.35,3.35,3.29,3.32,4500,3.30
2013-01-29,3.34,3.38,3.32,3.33,4400,3.31
2013-01-28,3.22,3.39,3.22,3.33,6200,3.31
2013-01-25,3.34,3.40,3.25,3.30,5400,3.28
2013-01-24,3.28,3.40,2.52,3.40,34600,3.38
2013-01-23,3.30,3.32,3.29,3.30,6200,3.28
2013-01-22,3.29,3.30,3.29,3.30,2900,3.28
2013-01-18,3.30,3.30,3.28,3.28,2200,3.26
2013-01-17,3.28,3.29,3.25,3.29,1800,3.27
2013-01-16,3.28,3.30,3.24,3.28,7400,3.26
2013-01-15,3.25,3.30,3.23,3.25,3800,3.23
2013-01-14,3.24,3.24,3.24,3.24,800,3.22
2013-01-11,3.21,3.25,3.17,3.25,2000,3.23
2013-01-10,3.20,3.25,3.20,3.22,4000,3.20
2013-01-09,3.20,3.25,3.01,3.21,5100,3.19
2013-01-08,3.20,3.22,3.17,3.20,3800,3.18
2013-01-07,3.20,3.23,3.05,3.23,4700,3.21
2013-01-04,3.15,3.25,3.15,3.20,3000,3.18
2013-01-03,3.19,3.32,3.09,3.20,5500,3.18
2013-01-02,3.09,3.24,3.09,3.20,3500,3.18
2012-12-31,2.95,3.35,2.95,3.09,26900,3.07
2012-12-28,2.90,2.96,2.90,2.95,5700,2.93
2012-12-27,2.84,2.89,2.84,2.88,500,2.86
2012-12-26,2.74,2.85,2.69,2.83,3500,2.81
2012-12-24,2.76,2.84,2.76,2.80,2100,2.78
2012-12-21,2.85,2.85,2.85,2.85,300,2.83
2012-12-20,2.93,2.93,2.84,2.89,9500,2.87
2012-12-19,2.90,2.92,2.88,2.92,2900,2.90
2012-12-18,2.94,2.94,2.94,2.94,100,2.92
2012-12-17,2.91,2.94,2.91,2.94,600,2.92
2012-12-14,2.95,2.95,2.93,2.94,1300,2.92
2012-12-13,2.92,2.95,2.92,2.95,2400,2.93
2012-12-12,2.88,2.94,2.88,2.92,1300,2.90
2012-12-11,2.90,2.94,2.90,2.94,1000,2.87
2012-12-10,2.94,2.94,2.91,2.94,400,2.87
2012-12-07,2.92,2.94,2.92,2.94,900,2.87
2012-12-06,2.94,2.96,2.87,2.96,3000,2.89
2012-12-05,2.94,2.94,2.89,2.93,3600,2.86
2012-12-04,2.94,2.97,2.92,2.94,2800,2.87
2012-12-03,2.94,2.94,2.94,2.94,100,2.87
2012-11-30,2.95,2.95,2.87,2.95,2100,2.88
2012-11-29,2.94,2.94,2.94,2.94,000,2.87
2012-11-28,2.94,2.94,2.93,2.94,1400,2.87
2012-11-27,2.93,2.94,2.93,2.94,300,2.87
2012-11-26,2.93,2.93,2.93,2.93,100,2.86
2012-11-23,2.93,2.93,2.93,2.93,300,2.86
2012-11-21,2.94,2.94,2.93,2.93,2700,2.86
2012-11-20,2.90,2.94,2.88,2.94,800,2.87
2012-11-19,2.90,2.94,2.90,2.90,3500,2.83
2012-11-16,2.91,2.94,2.88,2.94,4100,2.87
2012-11-15,2.90,2.92,2.89,2.92,5000,2.85
2012-11-14,2.92,2.92,2.88,2.92,1900,2.85
2012-11-13,2.91,2.92,2.90,2.92,2200,2.85
2012-11-12,2.90,2.92,2.89,2.92,2500,2.85
2012-11-09,2.86,2.92,2.83,2.90,2900,2.83
2012-11-08,2.92,2.92,2.81,2.92,2400,2.85
2012-11-07,2.77,2.94,2.77,2.94,3600,2.87
2012-11-06,2.90,2.94,2.87,2.94,2700,2.87
2012-11-05,2.91,2.93,2.76,2.92,1400,2.85
2012-11-02,2.90,2.93,2.86,2.93,1000,2.86
2012-11-01,2.89,2.93,2.78,2.92,2400,2.85
2012-10-31,2.90,3.00,2.85,2.86,6500,2.79
2012-10-26,2.93,2.94,2.92,2.94,1100,2.87
2012-10-25,2.87,2.95,2.87,2.95,2200,2.88
2012-10-24,2.89,2.89,2.89,2.89,500,2.82
2012-10-23,2.88,2.89,2.88,2.89,900,2.82
2012-10-22,2.77,2.77,2.75,2.75,2700,2.69
2012-10-19,2.78,2.80,2.68,2.75,4500,2.69
2012-10-18,2.80,2.80,2.80,2.80,300,2.74
2012-10-17,2.65,2.80,2.64,2.80,3700,2.74
2012-10-16,2.75,2.82,2.63,2.80,5000,2.74
2012-10-15,2.79,2.89,2.61,2.82,8400,2.76
2012-10-12,2.78,2.80,2.78,2.79,1100,2.73
2012-10-11,2.84,2.86,2.75,2.75,1600,2.69
2012-10-10,3.00,3.00,2.64,2.88,20500,2.81
2012-10-09,2.89,3.00,2.89,3.00,8600,2.93
2012-10-08,2.77,2.94,2.71,2.94,36100,2.87
2012-10-05,2.77,2.79,2.70,2.79,3100,2.73
2012-10-04,2.75,2.77,2.72,2.77,2500,2.71
2012-10-03,2.75,2.79,2.57,2.78,20900,2.72
2012-10-02,2.71,2.79,2.63,2.79,12700,2.73
2012-10-01,2.80,2.80,2.78,2.78,1800,2.72
2012-09-28,2.75,2.80,2.61,2.74,11800,2.68
2012-09-27,2.75,2.75,2.75,2.75,5400,2.69
2012-09-26,2.75,2.75,2.75,2.75,100,2.69
2012-09-25,2.64,2.75,2.59,2.75,13200,2.69
2012-09-24,2.65,2.65,2.58,2.64,4400,2.58
2012-09-21,2.62,2.73,2.60,2.65,7800,2.59
2012-09-20,2.62,2.72,2.62,2.72,1600,2.66
2012-09-19,2.74,2.75,2.61,2.75,5600,2.69
2012-09-18,2.70,2.75,2.63,2.75,1100,2.69
2012-09-17,2.72,2.75,2.56,2.75,5400,2.69
2012-09-14,2.55,2.75,2.55,2.74,3300,2.68
2012-09-13,2.70,2.70,2.63,2.63,3400,2.57
