Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,13.91,14.22,13.80,14.14,17233900,14.14
2013-04-25,13.74,14.20,13.67,14.15,20829700,14.15
2013-04-24,13.41,13.66,13.39,13.63,10010100,13.63
2013-04-23,13.18,13.49,13.14,13.43,10313800,13.43
2013-04-22,12.94,13.15,12.85,13.08,11135400,13.08
2013-04-19,12.83,13.02,12.65,12.93,12634800,12.93
2013-04-18,13.17,13.23,12.89,12.92,13911400,12.92
2013-04-17,13.27,13.43,13.00,13.05,16516400,13.05
2013-04-16,13.37,13.50,13.34,13.46,10697100,13.46
2013-04-15,13.49,13.65,13.23,13.31,16472400,13.31
2013-04-12,13.77,13.79,13.51,13.63,6933300,13.63
2013-04-11,13.73,13.97,13.70,13.80,11024700,13.80
2013-04-10,13.30,13.83,13.27,13.81,15002400,13.81
2013-04-09,13.34,13.48,13.20,13.30,13917200,13.30
2013-04-08,13.17,13.42,12.96,13.38,15210500,13.38
2013-04-05,13.02,13.22,12.91,13.20,10349000,13.20
2013-04-04,13.10,13.24,13.03,13.22,7399800,13.22
2013-04-03,13.24,13.24,13.02,13.15,14398900,13.15
2013-04-02,13.46,13.46,13.19,13.24,8535600,13.24
2013-04-01,13.48,13.49,13.27,13.36,11026400,13.36
2013-03-28,13.42,13.54,13.33,13.48,11878200,13.48
2013-03-27,13.30,13.42,13.09,13.41,10585500,13.41
2013-03-26,13.40,13.49,13.32,13.40,10751100,13.40
2013-03-25,13.37,13.40,13.23,13.32,10630700,13.32
2013-03-22,13.00,13.28,13.00,13.26,13887200,13.26
2013-03-21,13.10,13.13,12.92,12.96,10005400,12.96
2013-03-20,13.03,13.22,12.93,13.18,12832900,13.18
2013-03-19,13.05,13.09,12.80,12.96,18027200,12.96
2013-03-18,13.13,13.20,13.00,13.05,9798200,13.05
2013-03-15,13.60,13.71,13.26,13.31,17885900,13.31
2013-03-14,13.63,13.76,13.63,13.68,7978700,13.68
2013-03-13,13.45,13.65,13.34,13.63,10364600,13.63
2013-03-12,13.45,13.55,13.34,13.40,8362800,13.40
2013-03-11,13.48,13.56,13.44,13.52,7355400,13.52
2013-03-08,13.64,13.67,13.40,13.54,11335000,13.54
2013-03-07,13.65,13.78,13.45,13.55,15011300,13.55
2013-03-06,13.80,13.87,13.65,13.67,11513200,13.67
2013-03-05,13.65,13.78,13.62,13.74,9723400,13.74
2013-03-04,13.56,13.60,13.43,13.57,8107000,13.57
2013-03-01,13.58,13.68,13.40,13.59,12821000,13.59
2013-02-28,13.74,13.86,13.67,13.71,13483900,13.71
2013-02-27,13.60,13.83,13.55,13.74,15463200,13.74
2013-02-26,13.50,13.67,13.37,13.63,22783500,13.63
2013-02-25,13.67,13.80,13.22,13.23,15608600,13.23
2013-02-22,13.33,13.60,13.30,13.57,9134300,13.57
2013-02-21,13.51,13.52,13.09,13.25,17873600,13.25
