Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,190.24,190.42,185.22,185.75,725900,185.75
2013-04-25,188.03,193.67,188.00,191.19,1293900,191.19
2013-04-24,180.02,187.50,179.88,187.09,1115900,187.09
2013-04-23,179.04,179.94,175.60,179.42,1416400,179.42
2013-04-22,178.83,179.78,176.03,178.14,777100,178.14
2013-04-19,178.72,180.37,177.02,179.15,960500,179.15
2013-04-18,173.61,179.76,173.61,178.06,1520100,178.06
2013-04-17,175.62,175.62,170.53,172.83,1369300,172.83
2013-04-16,176.81,178.23,175.03,176.99,1204900,176.99
2013-04-15,180.53,181.17,175.40,175.49,1268500,175.49
2013-04-12,187.79,187.79,180.92,182.24,2306000,182.24
2013-04-11,191.14,191.14,188.05,188.49,872600,188.49
2013-04-10,191.50,192.17,188.70,191.14,958900,191.14
2013-04-09,190.48,193.50,190.17,190.98,815600,190.98
2013-04-08,189.82,190.28,188.00,189.69,412000,189.69
2013-04-05,186.90,190.29,186.84,189.97,835000,189.97
2013-04-04,187.01,190.48,186.96,190.07,1025600,190.07
2013-04-03,187.06,187.96,184.29,187.42,1619500,187.42
2013-04-02,190.70,191.34,184.94,186.12,1777200,186.12
2013-04-01,189.79,190.29,188.56,190.02,1062200,190.02
2013-03-28,191.79,193.94,189.74,190.37,1035300,190.37
2013-03-27,191.24,193.32,190.12,191.76,1040400,191.76
2013-03-26,192.48,193.50,190.29,193.33,973900,193.33
2013-03-25,193.98,194.33,190.11,191.51,1128900,191.51
2013-03-22,194.15,194.85,192.31,193.25,757400,193.25
2013-03-21,195.50,195.94,193.75,193.86,820800,193.86
2013-03-20,197.88,198.00,195.46,196.50,975200,196.50
2013-03-19,202.21,202.67,195.25,196.41,1385000,196.41
2013-03-18,200.99,202.98,199.00,202.07,1544200,202.07
2013-03-15,202.10,205.42,201.69,203.89,1644600,203.89
2013-03-14,204.71,204.86,201.78,203.51,1088400,203.51
2013-03-13,206.85,207.97,203.14,203.91,1103600,203.91
2013-03-12,207.71,207.98,205.50,206.72,976700,206.72
2013-03-11,206.94,208.60,205.35,208.15,1121300,208.15
2013-03-08,204.01,207.60,201.87,207.14,1326300,207.14
2013-03-07,202.11,203.61,200.55,202.76,1015700,202.76
2013-03-06,202.85,204.41,201.24,202.02,1143800,202.02
2013-03-05,201.39,203.35,200.33,201.53,951600,201.53
2013-03-04,201.00,201.18,198.57,200.42,1616200,200.42
2013-03-01,199.55,201.98,198.11,201.50,1361100,201.50
2013-02-28,198.35,202.35,197.64,200.83,1293300,200.83
2013-02-27,195.06,200.13,194.56,198.87,1251300,198.87
2013-02-26,198.05,198.69,189.82,195.23,3099600,195.23
2013-02-25,202.61,203.24,197.22,197.26,1481200,197.26
2013-02-22,203.71,203.90,199.02,201.52,1495300,201.52
2013-02-21,203.18,205.19,199.60,203.93,1993200,203.93
2013-02-20,216.94,216.94,206.30,207.07,2661800,207.07
2013-02-19,217.40,219.90,216.58,218.53,1056700,218.53
2013-02-15,217.55,217.91,214.47,216.67,1155600,216.67
2013-02-14,218.72,219.16,216.11,217.86,696600,217.86
2013-02-13,220.71,221.92,216.11,217.89,1132800,217.49
2013-02-12,226.72,226.72,220.11,220.34,1076400,219.94
2013-02-11,226.21,227.33,224.30,225.62,336000,225.21
2013-02-08,225.40,227.03,224.00,226.16,467100,225.74
2013-02-07,227.31,228.43,224.18,225.33,608100,224.92
2013-02-06,225.90,227.93,225.30,225.92,498600,225.51
2013-02-05,229.93,230.77,227.25,227.52,655900,227.10
2013-02-04,229.38,230.12,228.21,228.91,909200,228.49
2013-02-01,231.78,231.78,229.23,229.96,811800,229.54
2013-01-31,228.92,231.33,227.42,229.17,757000,228.75
2013-01-30,228.85,233.43,228.56,230.49,769000,230.07
2013-01-29,228.20,229.80,227.98,229.08,477200,228.66
2013-01-28,230.66,230.66,226.84,228.19,772200,227.77
2013-01-25,230.01,231.50,226.74,230.28,1061400,229.86
2013-01-24,224.23,228.07,223.84,226.47,1172700,226.05
2013-01-23,223.68,225.26,222.92,223.78,781900,223.37
2013-01-22,220.10,224.40,219.59,223.68,1069700,223.27
2013-01-18,218.49,220.58,216.35,219.06,923000,218.66
2013-01-17,218.90,218.90,216.81,217.40,670600,217.00
2013-01-16,216.36,219.22,215.34,217.85,643100,217.45
2013-01-15,218.59,218.82,216.00,217.01,756100,216.61
2013-01-14,218.23,219.54,217.00,218.69,719700,218.29
2013-01-11,217.62,219.78,215.78,218.17,1976900,217.77
2013-01-10,216.03,218.21,213.21,217.47,1993500,217.07
2013-01-09,207.00,215.85,207.00,214.25,1645300,213.86
2013-01-08,209.43,209.43,206.23,207.01,1012600,206.63
2013-01-07,210.07,210.70,206.91,210.09,720800,209.70
2013-01-04,207.42,211.81,207.42,210.88,906800,210.49
2013-01-03,207.06,209.30,205.49,206.26,805100,205.88
2013-01-02,208.94,209.72,205.02,207.24,1009700,206.86
2012-12-31,198.87,203.98,198.48,203.16,825900,202.79
2012-12-28,199.89,201.49,199.23,199.64,459400,199.27
2012-12-27,202.56,203.62,199.00,201.41,644600,201.04
2012-12-26,201.85,203.90,200.76,202.17,357400,201.80
2012-12-24,199.58,201.86,198.40,201.21,342700,200.84
2012-12-21,200.50,202.93,199.60,199.80,1107500,199.43
2012-12-20,205.00,205.26,200.68,204.28,1044000,203.90
2012-12-19,205.78,208.38,205.54,205.66,724400,205.28
2012-12-18,205.90,207.38,203.10,205.48,1057100,205.10
2012-12-17,206.73,206.76,201.90,205.26,1086700,204.88
2012-12-14,201.04,206.95,201.04,205.99,863500,205.61
2012-12-13,209.34,209.92,201.22,202.51,1735800,202.14
2012-12-12,215.92,216.86,208.77,209.69,1441600,209.31
2012-12-11,214.48,218.50,213.85,217.22,780700,216.82
2012-12-10,212.17,214.39,211.84,213.69,491000,213.30
2012-12-07,213.88,213.88,211.30,212.31,438800,211.92
2012-12-06,211.89,213.50,209.21,211.71,530600,211.32
2012-12-05,213.15,213.40,210.45,211.74,747500,211.35
2012-12-04,208.90,213.24,208.59,212.52,1011600,212.13
2012-12-03,213.43,215.00,209.00,209.28,1006500,208.90
2012-11-30,213.39,214.56,212.11,214.03,925700,213.64
2012-11-29,210.11,214.75,209.97,213.30,1212200,212.91
2012-11-28,206.00,208.92,204.22,208.54,693100,208.16
