Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,12.05,12.33,12.05,12.19,723700,12.19
2013-04-25,11.98,12.20,11.57,12.04,1290900,12.04
2013-04-24,12.04,12.07,11.93,12.02,620800,12.02
2013-04-23,11.92,12.05,11.88,12.01,764600,12.01
2013-04-22,11.83,11.92,11.65,11.84,574000,11.84
2013-04-19,11.58,11.81,11.56,11.79,418400,11.79
2013-04-18,11.62,11.68,11.53,11.58,843300,11.58
2013-04-17,11.70,11.72,11.48,11.64,1050500,11.64
2013-04-16,11.76,11.81,11.60,11.80,613600,11.80
2013-04-15,11.91,11.94,11.61,11.70,1189200,11.70
2013-04-12,11.85,12.00,11.82,11.94,816000,11.94
2013-04-11,11.69,11.87,11.68,11.86,1408000,11.86
2013-04-10,11.59,11.74,11.52,11.74,1207400,11.74
2013-04-09,11.62,11.66,11.48,11.55,690800,11.55
2013-04-08,11.28,11.57,11.19,11.57,856000,11.57
2013-04-05,10.98,11.24,10.94,11.22,990500,11.22
2013-04-04,11.06,11.16,11.02,11.12,2237900,11.12
2013-04-03,11.41,11.44,11.01,11.02,2140900,11.02
2013-04-02,11.52,11.52,11.28,11.37,1218300,11.37
2013-04-01,11.62,11.65,11.36,11.46,699300,11.46
2013-03-28,11.63,11.65,11.52,11.60,546400,11.60
2013-03-27,11.50,11.59,11.44,11.58,277900,11.58
2013-03-26,11.42,11.56,11.40,11.54,519600,11.54
2013-03-25,11.45,11.58,11.40,11.44,565300,11.34
2013-03-22,11.37,11.42,11.34,11.39,826800,11.29
2013-03-21,11.36,11.48,11.30,11.30,711600,11.20
2013-03-20,11.49,11.49,11.41,11.43,463200,11.33
2013-03-19,11.55,11.56,11.31,11.43,539300,11.33
2013-03-18,11.43,11.57,11.43,11.55,727200,11.45
2013-03-15,11.50,11.54,11.44,11.53,1849400,11.43
2013-03-14,11.39,11.46,11.35,11.46,558300,11.36
2013-03-13,11.39,11.44,11.33,11.36,687500,11.26
2013-03-12,11.46,11.50,11.33,11.39,382500,11.29
2013-03-11,11.40,11.56,11.39,11.47,1242200,11.37
2013-03-08,11.54,11.57,11.38,11.42,887300,11.32
2013-03-07,11.63,11.70,11.42,11.47,797300,11.37
2013-03-06,11.54,11.65,11.40,11.65,656000,11.55
2013-03-05,11.44,11.63,11.41,11.55,673300,11.45
2013-03-04,11.33,11.48,11.30,11.42,754100,11.32
2013-03-01,11.16,11.39,11.16,11.38,915400,11.28
2013-02-28,11.16,11.32,11.15,11.26,2000000,11.16
2013-02-27,10.92,11.26,10.92,11.21,969300,11.11
2013-02-26,10.87,10.95,10.76,10.92,843100,10.82
2013-02-25,11.03,11.03,10.81,10.81,643700,10.72
2013-02-22,11.00,11.09,10.94,11.01,759800,10.91
2013-02-21,11.07,11.12,10.82,10.93,913300,10.83
2013-02-20,11.18,11.27,11.09,11.09,979000,10.99
2013-02-19,11.11,11.21,11.09,11.21,651700,11.11
2013-02-15,11.15,11.31,10.80,11.12,3379100,11.02
2013-02-14,11.45,11.48,11.15,11.19,1496200,11.09
2013-02-13,11.48,11.55,11.36,11.44,3243100,11.34
2013-02-12,11.49,11.56,11.43,11.44,984700,11.34
2013-02-11,11.44,11.50,11.38,11.46,244900,11.36
2013-02-08,11.50,11.55,11.42,11.45,690500,11.35
2013-02-07,11.51,11.55,11.42,11.47,806700,11.37
2013-02-06,11.36,11.53,11.36,11.50,609200,11.40
2013-02-05,11.49,11.50,11.28,11.44,1011400,11.34
2013-02-04,11.32,11.48,11.32,11.42,692600,11.32
2013-02-01,11.20,11.43,11.09,11.41,1355400,11.31
2013-01-31,11.03,11.13,10.94,11.12,958700,11.02
2013-01-30,11.04,11.08,10.99,11.02,774900,10.92
2013-01-29,10.96,11.08,10.89,11.08,1277200,10.98
2013-01-28,10.98,11.00,10.86,10.93,860400,10.83
2013-01-25,10.98,11.00,10.90,10.95,474400,10.85
2013-01-24,10.91,10.96,10.83,10.91,621100,10.81
2013-01-23,10.96,10.97,10.86,10.87,392700,10.77
2013-01-22,10.78,10.95,10.78,10.93,643800,10.83
2013-01-18,10.86,10.87,10.73,10.76,2571600,10.67
2013-01-17,10.90,10.95,10.83,10.87,913700,10.77
2013-01-16,10.90,10.93,10.86,10.87,533800,10.77
2013-01-15,10.84,10.93,10.83,10.90,701800,10.80
2013-01-14,10.99,11.02,10.88,10.89,698900,10.79
2013-01-11,11.17,11.19,10.89,10.98,1036600,10.88
2013-01-10,11.33,11.35,11.13,11.14,2516800,11.04
2013-01-09,11.28,11.40,11.24,11.31,1167100,11.21
2013-01-08,11.25,11.37,11.18,11.22,956100,11.12
2013-01-07,11.19,11.31,11.12,11.26,404500,11.16
2013-01-04,11.33,11.33,11.21,11.26,1276000,11.16
2013-01-03,11.33,11.35,11.20,11.26,1600200,11.16
2013-01-02,11.32,11.44,11.24,11.32,1132600,11.22
2012-12-31,10.95,11.13,10.90,11.09,731800,10.99
2012-12-28,10.96,11.04,10.94,10.98,636300,10.88
2012-12-27,10.98,11.06,10.87,11.04,589700,10.94
2012-12-26,11.06,11.10,10.94,11.00,634400,10.90
2012-12-24,11.09,11.12,10.99,11.12,369500,10.92
2012-12-21,10.90,11.09,10.89,11.09,2820200,10.89
2012-12-20,10.81,10.99,10.79,10.99,1643700,10.80
2012-12-19,10.83,10.87,10.79,10.82,1318100,10.63
2012-12-18,10.68,10.83,10.64,10.79,687800,10.60
2012-12-17,10.65,10.70,10.59,10.63,2681800,10.44
2012-12-14,10.65,10.71,10.59,10.59,986600,10.40
2012-12-13,10.82,10.87,10.54,10.60,683300,10.41
2012-12-12,10.87,10.99,10.60,10.84,910400,10.65
2012-12-11,10.85,10.95,10.83,10.88,737900,10.69
2012-12-10,10.71,10.89,10.68,10.81,879800,10.62
2012-12-07,10.70,10.70,10.55,10.69,1192300,10.50
2012-12-06,10.64,10.70,10.61,10.66,969600,10.47
2012-12-05,10.74,10.78,10.62,10.64,963200,10.45
2012-12-04,10.80,10.80,10.69,10.69,701100,10.50
2012-12-03,10.80,10.99,10.77,10.81,570400,10.62
2012-11-30,10.74,10.88,10.61,10.72,1337500,10.53
2012-11-29,10.74,10.84,10.66,10.73,1087500,10.54
2012-11-28,10.58,10.64,10.43,10.64,612300,10.45
2012-11-27,10.67,10.77,10.52,10.61,474500,10.42
2012-11-26,10.68,10.99,10.58,10.70,778100,10.51
2012-11-23,10.63,10.70,10.56,10.69,490000,10.50
2012-11-21,10.62,10.65,10.53,10.58,501900,10.39
2012-11-20,10.64,10.67,10.53,10.62,667100,10.43
2012-11-19,10.66,10.68,10.53,10.64,1181000,10.45
2012-11-16,10.42,10.58,10.28,10.53,2888600,10.34
2012-11-15,10.49,10.56,10.37,10.45,834300,10.27
2012-11-14,10.79,10.82,10.41,10.47,1274800,10.29
2012-11-13,10.56,10.81,10.53,10.77,447800,10.58
2012-11-12,10.66,10.72,10.52,10.64,329800,10.45
2012-11-09,10.62,10.76,10.50,10.69,396300,10.50
2012-11-08,10.94,10.94,10.68,10.69,455800,10.50
2012-11-07,11.01,11.01,10.79,10.91,723700,10.72
2012-11-06,11.00,11.17,10.88,11.13,1146300,10.93
2012-11-05,11.00,11.00,10.77,10.94,469800,10.75
2012-11-02,10.88,10.96,10.85,10.94,660600,10.75
2012-11-01,10.80,10.92,10.69,10.86,1099500,10.67
2012-10-31,10.56,10.72,10.55,10.67,1367300,10.48
2012-10-26,10.74,10.97,10.47,10.55,1211500,10.36
2012-10-25,10.85,10.88,10.64,10.74,455500,10.55
2012-10-24,10.83,10.97,10.73,10.78,850900,10.59
2012-10-23,10.74,10.76,10.59,10.73,427100,10.54
2012-10-22,10.98,11.12,10.75,10.81,1314100,10.62
2012-10-19,10.99,11.08,10.91,11.02,1160300,10.83
2012-10-18,10.97,11.10,10.93,11.03,728400,10.84
2012-10-17,10.92,10.99,10.83,10.96,462000,10.77
2012-10-16,10.87,10.99,10.86,10.93,461300,10.74
2012-10-15,10.71,10.86,10.65,10.80,576600,10.61
2012-10-12,10.79,10.93,10.65,10.69,303600,10.50
2012-10-11,10.70,10.84,10.66,10.76,568700,10.57
2012-10-10,10.66,10.75,10.55,10.66,641100,10.47
2012-10-09,10.67,10.72,10.56,10.64,527400,10.45
2012-10-08,10.66,10.70,10.56,10.65,707000,10.46
2012-10-05,10.75,10.80,10.61,10.71,663600,10.52
2012-10-04,10.76,10.81,10.54,10.74,404900,10.55
2012-10-03,10.64,10.81,10.53,10.70,602400,10.51
2012-10-02,10.52,10.66,10.39,10.61,730600,10.42
2012-10-01,10.61,10.65,10.30,10.46,707600,10.28
2012-09-28,10.43,10.64,10.42,10.57,814600,10.38
2012-09-27,10.49,10.65,10.40,10.51,597600,10.32
2012-09-26,10.45,10.53,10.36,10.42,804000,10.24
2012-09-25,10.82,10.91,10.51,10.51,837500,10.23
2012-09-24,10.95,11.09,10.79,10.79,508000,10.50
2012-09-21,11.10,11.14,10.97,10.97,958200,10.67
2012-09-20,11.10,11.14,10.93,11.00,451800,10.70
2012-09-19,11.13,11.23,11.07,11.15,633500,10.85
2012-09-18,11.26,11.29,11.09,11.14,692500,10.84
2012-09-17,11.21,11.28,11.14,11.25,815200,10.95
2012-09-14,11.02,11.26,11.02,11.17,656900,10.87
2012-09-13,10.78,11.00,10.72,10.95,1065300,10.65
2012-09-12,10.84,10.85,10.69,10.75,807500,10.46
2012-09-11,10.85,10.89,10.78,10.78,730200,10.49
2012-09-10,10.89,10.99,10.77,10.83,953700,10.54
2012-09-07,10.86,10.97,10.79,10.85,766300,10.56
2012-09-06,10.80,10.91,10.71,10.85,703900,10.56
2012-09-05,10.65,10.75,10.63,10.70,842600,10.41
2012-09-04,10.46,10.72,10.39,10.69,1049900,10.40
2012-08-31,10.54,10.54,10.34,10.48,880800,10.20
2012-08-30,10.41,10.49,10.39,10.49,544500,10.21
2012-08-29,10.37,10.51,10.32,10.46,1332300,10.18
2012-08-28,10.32,10.46,10.29,10.34,1225900,10.06
2012-08-27,10.32,10.40,10.29,10.35,588000,10.07
2012-08-24,10.23,10.37,10.20,10.30,736900,10.02
2012-08-23,10.33,10.35,10.21,10.27,797400,9.99
2012-08-22,10.29,10.41,10.27,10.31,1020300,10.03
2012-08-21,10.18,10.40,10.18,10.34,902800,10.06
2012-08-20,10.35,10.35,10.13,10.16,459300,9.89
2012-08-17,10.26,10.39,10.24,10.39,380500,10.11
2012-08-16,10.23,10.30,10.14,10.25,589300,9.97
2012-08-15,10.27,10.32,10.21,10.26,675200,9.98
2012-08-14,10.30,10.37,10.21,10.25,501000,9.97
2012-08-13,10.11,10.30,10.06,10.28,626100,10.00
2012-08-10,10.05,10.14,10.00,10.11,1066500,9.84
2012-08-09,10.10,10.22,10.03,10.05,1422200,9.78
2012-08-08,10.22,10.28,10.05,10.13,1014900,9.86
2012-08-07,10.41,10.42,10.22,10.31,1378700,10.03
2012-08-06,10.25,10.40,10.17,10.38,675700,10.10
2012-08-03,10.18,10.36,10.15,10.23,660000,9.95
2012-08-02,9.83,10.10,9.81,10.09,609300,9.82
2012-08-01,10.10,10.22,9.87,9.90,679600,9.63
2012-07-31,10.11,10.26,9.95,10.02,1142300,9.75
2012-07-30,10.19,10.28,10.11,10.12,764800,9.85
2012-07-27,9.86,10.24,9.85,10.20,1018000,9.92
2012-07-26,9.86,9.92,9.76,9.82,1141700,9.55
2012-07-25,9.87,9.89,9.65,9.70,1073800,9.44
2012-07-24,10.02,10.02,9.78,9.81,1412100,9.55
2012-07-23,9.96,10.06,9.75,9.96,1277400,9.69
2012-07-20,9.97,10.30,9.97,10.13,1621600,9.86
2012-07-19,10.42,10.49,10.19,10.23,956900,9.95
2012-07-18,10.45,10.55,10.37,10.40,942900,10.12
2012-07-17,10.53,10.54,10.31,10.48,1143800,10.20
2012-07-16,10.35,10.49,10.32,10.45,872100,10.17
2012-07-13,10.25,10.46,10.15,10.41,1111400,10.13
2012-07-12,10.07,10.27,10.02,10.25,968300,9.97
2012-07-11,10.30,10.31,10.06,10.17,1416800,9.90
2012-07-10,10.43,10.49,10.25,10.29,1107800,10.01
2012-07-09,10.41,10.52,10.31,10.39,783500,10.11
2012-07-06,10.24,10.51,10.07,10.47,1004600,10.19
2012-07-05,10.53,10.68,10.45,10.49,2410000,10.21
2012-07-03,10.32,10.60,10.31,10.58,2271500,10.29
2012-07-02,10.19,10.30,10.11,10.28,1078500,10.00
2012-06-29,10.02,10.22,9.94,10.22,1489600,9.94
2012-06-28,9.67,9.85,9.60,9.85,941400,9.58
2012-06-27,9.60,9.74,9.44,9.74,468300,9.48
2012-06-26,9.72,9.76,9.57,9.63,1120300,9.27
2012-06-25,9.71,9.81,9.60,9.71,1064300,9.35
2012-06-22,9.75,9.81,9.61,9.76,1428900,9.40
2012-06-21,9.69,9.74,9.61,9.67,1539700,9.31
2012-06-20,9.84,9.93,9.66,9.71,720000,9.35
