Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,31.90,31.98,31.45,31.79,47799300,31.79
2013-04-25,31.71,32.84,31.54,31.94,110688300,31.94
2013-04-24,30.62,31.92,30.60,31.76,90946600,31.76
2013-04-23,30.70,30.90,30.38,30.60,59082400,30.60
2013-04-22,30.30,31.18,30.27,30.83,137904000,30.83
2013-04-19,29.62,30.24,29.61,29.77,99790700,29.77
2013-04-18,28.95,28.98,28.50,28.79,56841500,28.79
2013-04-17,28.85,29.04,28.60,28.83,52840700,28.83
2013-04-16,28.90,29.14,28.70,28.97,52797300,28.97
2013-04-15,28.65,28.98,28.51,28.69,56332900,28.69
2013-04-12,28.85,29.02,28.66,28.79,62886300,28.79
2013-04-11,29.10,29.20,28.73,28.94,130907100,28.94
2013-04-10,29.57,30.32,29.52,30.28,71058300,30.28
2013-04-09,28.73,29.82,28.68,29.61,77733800,29.61
2013-04-08,28.73,28.73,28.47,28.59,34759500,28.59
2013-04-05,28.22,28.78,28.11,28.70,50927300,28.70
2013-04-04,28.39,28.61,28.27,28.60,45263200,28.60
2013-04-03,28.75,28.95,28.54,28.56,35062800,28.56
2013-04-02,28.59,28.85,28.52,28.80,28456500,28.80
2013-04-01,28.64,28.66,28.36,28.61,29201100,28.61
2013-03-28,28.32,28.66,28.26,28.61,55453800,28.61
2013-03-27,28.14,28.45,28.08,28.37,36047400,28.37
2013-03-26,28.24,28.34,28.11,28.16,27824300,28.16
2013-03-25,28.30,28.35,27.96,28.16,44154000,28.16
2013-03-22,28.19,28.34,28.10,28.25,28689600,28.25
2013-03-21,28.11,28.36,28.05,28.11,34233200,28.11
2013-03-20,28.34,28.49,28.18,28.32,35447800,28.32
2013-03-19,28.12,28.22,28.03,28.18,51901600,28.18
2013-03-18,27.88,28.28,27.81,28.10,44809400,28.10
2013-03-15,28.03,28.16,27.98,28.04,92710300,28.04
2013-03-14,28.00,28.16,27.93,28.14,55914800,28.14
2013-03-13,27.87,28.02,27.75,27.92,29093400,27.92
2013-03-12,27.84,27.95,27.64,27.91,39255200,27.91
2013-03-11,27.94,27.97,27.67,27.87,36627500,27.87
2013-03-08,28.25,28.33,27.96,28.00,37667800,28.00
2013-03-07,28.11,28.28,28.01,28.14,29196700,28.14
2013-03-06,28.21,28.23,27.78,28.09,51448500,28.09
2013-03-05,28.29,28.54,28.16,28.35,41432200,28.35
2013-03-04,27.85,28.15,27.70,28.15,38157500,28.15
2013-03-01,27.72,27.98,27.52,27.95,34849700,27.95
2013-02-28,27.88,27.97,27.74,27.80,35840200,27.80
2013-02-27,27.42,28.00,27.33,27.81,36394700,27.81
2013-02-26,27.38,27.60,27.34,27.37,49923300,27.37
2013-02-25,27.97,28.05,27.37,27.37,48011800,27.37
2013-02-22,27.68,27.76,27.48,27.76,31425900,27.76
2013-02-21,27.74,27.74,27.23,27.49,49078500,27.49
2013-02-20,28.13,28.20,27.83,27.87,44110200,27.87
2013-02-19,27.88,28.09,27.80,28.05,38781400,28.05
2013-02-15,28.04,28.16,27.88,28.01,49650900,27.78
2013-02-14,27.92,28.06,27.87,28.04,32663200,27.81
2013-02-13,27.93,28.11,27.88,28.03,41715600,27.80
2013-02-12,27.88,28.00,27.75,27.88,35990900,27.65
2013-02-11,27.65,27.92,27.50,27.86,32247700,27.63
2013-02-08,27.35,27.71,27.31,27.55,33318500,27.32
2013-02-07,27.35,27.39,27.10,27.28,38028300,27.06
2013-02-06,27.38,27.54,27.25,27.34,41889600,27.12
2013-02-05,27.62,27.66,27.36,27.50,35410400,27.27
2013-02-04,27.87,28.02,27.42,27.44,50540000,27.21
2013-02-01,27.67,28.05,27.55,27.93,55565900,27.70
2013-01-31,27.79,27.97,27.40,27.45,50530000,27.22
2013-01-30,28.01,28.19,27.76,27.85,43580500,27.62
2013-01-29,27.82,28.13,27.60,28.01,49242600,27.78
2013-01-28,28.01,28.23,27.76,27.91,56056500,27.68
2013-01-25,27.58,28.23,27.39,27.88,81847700,27.65
2013-01-24,27.70,28.07,27.47,27.63,101739300,27.40
2013-01-23,27.20,27.64,27.20,27.61,50387700,27.38
2013-01-22,27.30,27.45,27.00,27.15,58650600,26.93
2013-01-18,27.10,27.29,27.04,27.25,52167700,27.03
2013-01-17,27.19,27.47,27.06,27.25,51685900,27.03
2013-01-16,27.15,27.23,27.01,27.04,41077400,26.82
2013-01-15,26.83,27.29,26.83,27.21,48244500,26.99
2013-01-14,26.90,27.08,26.76,26.89,48324400,26.67
2013-01-11,26.49,26.93,26.28,26.83,55512100,26.61
2013-01-10,26.65,26.98,26.29,26.46,71431300,26.24
2013-01-09,26.72,26.75,26.56,26.70,49047900,26.48
2013-01-08,26.75,26.79,26.46,26.55,44703100,26.33
2013-01-07,26.77,26.88,26.64,26.69,37110400,26.47
2013-01-04,27.27,27.34,26.73,26.74,52521100,26.52
2013-01-03,27.63,27.65,27.16,27.25,48294400,27.03
2013-01-02,27.25,27.73,27.15,27.62,52899300,27.39
2012-12-31,26.59,26.77,26.37,26.71,42749500,26.49
2012-12-28,26.71,26.90,26.55,26.55,28239900,26.33
2012-12-27,26.89,27.09,26.57,26.96,39394000,26.74
2012-12-26,27.03,27.20,26.70,26.86,31631100,26.64
2012-12-24,27.20,27.25,27.00,27.06,20842400,26.84
2012-12-21,27.45,27.49,27.00,27.45,98776500,27.22
2012-12-20,27.36,27.68,27.15,27.68,52607300,27.45
2012-12-19,27.69,27.73,27.25,27.31,53519900,27.09
2012-12-18,27.25,27.63,27.14,27.56,50486900,27.33
2012-12-17,26.79,27.22,26.68,27.10,42046100,26.88
2012-12-14,27.11,27.13,26.70,26.81,42077500,26.59
2012-12-13,27.32,27.52,26.95,27.11,45080100,26.89
2012-12-12,27.53,27.62,27.08,27.24,43966300,27.02
2012-12-11,27.05,27.49,27.05,27.32,52282800,27.10
2012-12-10,26.56,26.97,26.52,26.94,47031100,26.72
2012-12-07,26.82,26.82,26.37,26.46,46162100,26.24
2012-12-06,26.81,26.98,26.61,26.73,39182300,26.51
2012-12-05,26.38,26.93,26.26,26.67,68283800,26.45
2012-12-04,26.50,26.63,26.34,26.37,49777500,26.15
2012-12-03,26.78,26.82,26.40,26.43,53173800,26.21
2012-11-30,27.05,27.13,26.49,26.62,83690200,26.40
2012-11-29,27.11,27.36,26.86,26.95,69551400,26.73
2012-11-28,27.01,27.39,26.77,27.36,53018400,27.14
2012-11-27,27.36,27.38,27.04,27.08,45018600,26.86
2012-11-26,27.54,27.58,27.17,27.39,85198700,27.17
2012-11-23,27.23,27.77,27.20,27.70,57845700,27.47
2012-11-21,26.71,27.17,26.67,26.95,66360300,26.73
2012-11-20,26.76,26.80,26.46,26.71,47070400,26.49
2012-11-19,26.80,26.80,26.47,26.73,57179300,26.51
2012-11-16,26.67,26.70,26.34,26.52,64083300,26.30
2012-11-15,26.88,26.97,26.63,26.66,50955600,26.44
2012-11-14,27.24,27.29,26.80,26.84,76086100,26.62
2012-11-13,27.02,27.30,26.75,27.09,131689200,26.87
2012-11-12,28.94,29.01,28.21,28.22,61112300,27.76
2012-11-09,28.88,29.19,28.81,28.83,43291200,28.36
2012-11-08,29.12,29.37,28.80,28.81,49841800,28.34
2012-11-07,29.53,29.83,29.05,29.08,57871800,28.61
2012-11-06,29.82,30.20,29.61,29.86,43401500,29.37
2012-11-05,29.62,29.74,29.33,29.63,38070800,29.15
2012-11-02,29.59,29.77,29.33,29.50,57131600,29.02
2012-11-01,28.84,29.56,28.82,29.52,72047900,29.04
2012-10-31,28.55,28.88,28.50,28.54,69464100,28.07
2012-10-26,27.86,28.34,27.84,28.21,57790000,27.75
2012-10-25,28.19,28.20,27.86,27.88,54084300,27.43
2012-10-24,28.16,28.20,27.87,27.90,53320400,27.45
2012-10-23,27.77,28.20,27.76,28.05,64414800,27.59
2012-10-22,28.73,28.83,27.83,28.00,83374000,27.54
2012-10-19,29.05,29.08,28.50,28.64,90470800,28.17
2012-10-18,29.65,29.73,29.26,29.50,59238500,29.02
2012-10-17,29.30,29.64,29.09,29.59,44206100,29.11
2012-10-16,29.45,29.74,29.32,29.49,47739400,29.01
2012-10-15,29.37,29.72,29.25,29.51,42440200,29.03
2012-10-12,28.97,29.32,28.80,29.20,46464700,28.72
2012-10-11,29.22,29.25,28.87,28.95,41488500,28.48
2012-10-10,29.15,29.31,28.95,28.98,47227100,28.51
2012-10-09,29.68,29.74,29.18,29.28,45121100,28.80
2012-10-08,29.64,29.92,29.55,29.78,29752000,29.29
2012-10-05,30.23,30.25,29.74,29.85,41133900,29.36
2012-10-04,29.97,30.03,29.57,30.03,43634900,29.54
2012-10-03,29.75,29.99,29.67,29.86,46655900,29.37
2012-10-02,29.68,29.89,29.50,29.66,43338900,29.18
2012-10-01,29.81,29.98,29.42,29.49,54042700,29.01
2012-09-28,30.18,30.26,29.74,29.76,54229300,29.28
2012-09-27,30.17,30.40,29.89,30.16,47129900,29.67
2012-09-26,30.28,30.60,30.04,30.17,54672000,29.68
2012-09-25,30.95,31.00,30.36,30.39,54266400,29.89
2012-09-24,31.00,31.07,30.64,30.78,46825900,30.28
2012-09-21,31.43,31.61,31.09,31.19,102348900,30.68
2012-09-20,30.95,31.48,30.91,31.45,45543000,30.94
2012-09-19,31.09,31.19,31.04,31.05,48871900,30.54
2012-09-18,31.10,31.21,31.03,31.18,34542700,30.67
2012-09-17,31.19,31.26,31.04,31.21,36488500,30.70
2012-09-14,31.01,31.25,30.81,31.21,51422800,30.70
2012-09-13,30.89,31.18,30.40,30.94,45047300,30.44
2012-09-12,30.94,31.18,30.73,30.78,32775800,30.28
2012-09-11,30.69,30.91,30.61,30.79,25191800,30.29
2012-09-10,30.83,30.90,30.51,30.72,40524000,30.22
2012-09-07,31.04,31.07,30.73,30.95,42649100,30.45
2012-09-06,30.50,31.36,30.46,31.35,48371700,30.84
2012-09-05,30.22,30.53,30.21,30.39,33650000,29.89
2012-09-04,30.45,30.66,30.15,30.39,48556700,29.89
2012-08-31,30.60,30.96,30.38,30.82,36590100,30.32
2012-08-30,30.53,30.61,30.22,30.32,23982100,29.83
2012-08-29,30.65,30.75,30.44,30.65,23346800,30.15
2012-08-28,30.70,30.80,30.52,30.63,23947900,30.13
2012-08-27,30.93,30.96,30.59,30.69,34691100,30.19
2012-08-24,30.25,30.63,30.18,30.56,22943300,30.06
2012-08-23,30.39,30.40,30.08,30.26,28355600,29.77
2012-08-22,30.59,30.76,30.47,30.54,33437400,30.04
2012-08-21,30.76,30.96,30.61,30.80,28822700,30.30
2012-08-20,30.82,30.85,30.58,30.74,23737700,30.24
2012-08-17,30.92,30.92,30.59,30.90,32589900,30.40
2012-08-16,30.36,30.94,30.26,30.78,35787200,30.28
2012-08-15,30.11,30.28,30.02,30.20,24351000,29.71
2012-08-14,30.30,30.39,30.01,30.13,34551400,29.64
2012-08-13,30.35,30.46,30.16,30.39,23049100,29.70
