Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,34.83,35.10,34.59,34.87,5778300,34.87
2013-04-25,35.10,35.59,34.73,34.81,6834100,34.81
2013-04-24,34.81,35.25,34.73,34.86,6846100,34.86
2013-04-23,34.45,35.38,34.15,34.95,8360900,34.95
2013-04-22,33.27,34.17,33.12,34.12,6999200,34.12
2013-04-19,33.17,33.43,32.75,32.99,9945600,32.99
2013-04-18,34.86,34.96,33.68,33.78,5893100,33.78
2013-04-17,35.50,35.52,34.61,34.72,6196700,34.72
2013-04-16,34.82,35.97,34.64,35.81,8142100,35.81
2013-04-15,35.25,35.83,34.62,34.73,8646200,34.73
2013-04-12,33.48,36.16,33.23,35.46,20926200,35.46
2013-04-11,33.59,33.61,33.11,33.47,8647600,33.47
2013-04-10,33.69,34.22,33.51,33.62,11516900,33.62
2013-04-09,34.10,34.54,34.01,34.17,8866100,34.17
2013-04-08,33.91,34.05,33.77,33.93,5871800,33.93
2013-04-05,34.13,34.15,33.19,34.00,10886500,34.00
2013-04-04,34.32,34.61,34.11,34.57,4060500,34.57
2013-04-03,34.61,34.90,34.36,34.44,5836300,34.44
2013-04-02,34.34,34.95,34.11,34.70,8198600,34.70
2013-04-01,34.07,34.40,33.70,34.06,4954000,34.06
2013-03-28,33.59,34.22,33.33,34.16,7173000,34.16
2013-03-27,33.02,33.95,32.97,33.70,3964400,33.70
2013-03-26,33.46,33.54,33.04,33.31,3213300,33.31
2013-03-25,33.55,33.73,33.10,33.19,4830500,33.19
2013-03-22,33.78,33.91,33.44,33.54,6871600,33.54
2013-03-21,33.86,33.97,33.42,33.77,4854300,33.77
2013-03-20,34.20,34.43,33.98,34.15,4914500,34.15
2013-03-19,34.13,34.25,33.52,33.95,5887900,33.95
2013-03-18,34.28,34.30,33.86,34.11,6574600,34.11
2013-03-15,34.34,34.83,34.27,34.56,5607500,34.56
2013-03-14,34.18,34.56,34.18,34.51,4566700,34.51
2013-03-13,34.09,34.27,33.66,34.19,3900400,34.19
2013-03-12,34.29,34.43,33.71,34.00,5155500,34.00
2013-03-11,34.05,34.69,34.02,34.68,4996000,34.68
2013-03-08,34.50,34.67,34.07,34.21,4961300,34.21
