Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,16.64,16.86,16.28,16.48,4836100,16.48
2013-04-25,17.10,17.51,16.91,17.20,6623600,17.20
2013-04-24,16.45,16.60,16.41,16.49,1671700,16.49
2013-04-23,16.50,16.85,16.50,16.67,1457600,16.67
2013-04-22,16.44,16.52,16.30,16.52,1574600,16.52
2013-04-19,16.54,16.71,16.43,16.65,1900600,16.65
2013-04-18,16.35,16.35,16.09,16.18,1749500,16.18
2013-04-17,16.48,16.53,16.20,16.41,2006100,16.41
2013-04-16,16.47,16.59,16.36,16.56,1838900,16.56
2013-04-15,16.82,16.87,16.39,16.48,2934200,16.48
2013-04-12,16.67,16.75,16.45,16.67,3120900,16.67
2013-04-11,16.92,16.94,16.73,16.90,2455100,16.90
2013-04-10,16.80,16.98,16.80,16.93,1228500,16.93
2013-04-09,16.64,16.87,16.61,16.79,1775500,16.79
2013-04-08,16.92,17.05,16.85,17.02,2434200,17.02
2013-04-05,16.38,16.69,16.23,16.69,3298600,16.69
2013-04-04,16.87,17.11,16.84,17.00,5224300,17.00
2013-04-03,16.83,16.88,16.21,16.43,4774700,16.43
2013-04-02,16.83,17.20,16.76,17.00,3213900,17.00
2013-04-01,16.87,16.90,16.54,16.60,3052400,16.60
2013-03-28,17.32,17.45,17.31,17.40,1685800,17.40
2013-03-27,17.35,17.66,17.35,17.64,2406800,17.64
2013-03-26,17.57,17.61,17.35,17.49,2605400,17.49
2013-03-25,18.00,18.06,17.54,17.77,3943700,17.77
2013-03-22,17.58,17.75,17.53,17.68,2926000,17.68
2013-03-21,17.63,17.63,17.20,17.31,4008900,17.31
2013-03-20,17.33,17.74,17.29,17.71,3622900,17.71
2013-03-19,17.37,17.45,17.05,17.17,4102300,17.17
2013-03-18,16.53,16.96,16.42,16.81,4926800,16.81
2013-03-15,17.26,17.39,17.20,17.26,5378700,17.26
2013-03-14,15.86,16.03,15.86,16.03,4910100,16.03
2013-03-13,15.68,15.77,15.59,15.73,2477500,15.73
2013-03-12,15.44,15.72,15.24,15.55,8796300,15.55
2013-03-11,15.67,16.02,15.66,15.96,4048400,15.96
2013-03-08,15.55,15.66,15.44,15.59,4835200,15.59
2013-03-07,15.56,15.71,15.22,15.56,2201200,15.56
2013-03-06,15.74,15.95,15.73,15.84,2713200,15.84
2013-03-05,15.45,15.58,15.42,15.51,2476300,15.51
2013-03-04,15.49,15.60,15.23,15.57,4817100,15.57
2013-03-01,14.98,15.28,14.85,15.23,4894800,15.23
2013-02-28,14.38,14.65,14.35,14.58,3053900,14.58
2013-02-27,14.07,14.36,14.05,14.34,1918500,14.34
2013-02-26,13.94,14.05,13.88,14.04,3070300,14.04
2013-02-25,14.21,14.32,13.75,13.79,2851200,13.79
2013-02-22,13.99,14.13,13.89,14.07,2035000,14.07
2013-02-21,14.31,14.32,13.94,14.08,3705900,14.08
2013-02-20,14.75,14.78,14.44,14.47,3113100,14.47
2013-02-19,14.54,14.72,14.54,14.65,2489800,14.65
2013-02-15,14.29,14.39,14.23,14.34,2641400,14.34
2013-02-14,14.27,14.46,14.16,14.23,3259400,14.23
2013-02-13,14.16,14.32,14.13,14.21,5936300,14.21
2013-02-12,14.77,14.81,14.58,14.68,2708900,14.68
2013-02-11,15.00,15.05,14.90,14.99,2030000,14.99
2013-02-08,14.70,15.00,14.67,14.92,4721800,14.92
2013-02-07,15.27,15.45,14.56,15.13,7780900,15.13
2013-02-06,15.66,15.85,15.52,15.82,3501300,15.82
2013-02-05,15.73,15.93,15.67,15.83,4171100,15.83
2013-02-04,15.76,15.79,15.44,15.48,6403800,15.48
2013-02-01,14.71,15.14,14.64,15.13,5017200,15.13
2013-01-31,14.89,14.98,14.63,14.94,2597200,14.94
2013-01-30,15.10,15.17,14.97,14.99,3199100,14.99
2013-01-29,15.11,15.23,15.00,15.14,5664500,15.14
2013-01-28,15.49,15.49,14.83,15.12,8239400,15.12
2013-01-25,14.32,14.46,14.25,14.41,6596300,14.41
2013-01-24,13.41,13.56,13.36,13.52,4676900,13.52
2013-01-23,13.16,13.29,13.08,13.25,3222900,13.25
2013-01-22,13.18,13.38,13.11,13.35,8125000,13.35
2013-01-18,12.66,12.74,12.48,12.70,9285500,12.70
2013-01-17,11.55,11.98,11.52,11.91,10669300,11.91
2013-01-16,11.22,11.44,11.17,11.20,6347500,11.20
2013-01-15,11.22,11.25,11.13,11.23,7202700,11.23
2013-01-14,11.18,11.34,11.18,11.28,5212500,11.28
2013-01-11,11.13,11.17,11.07,11.09,4802300,11.09
2013-01-10,11.02,11.10,10.99,11.05,5174800,11.05
2013-01-09,10.77,10.83,10.71,10.74,2063200,10.74
2013-01-08,10.82,10.83,10.59,10.72,3265500,10.72
