Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,53.25,53.71,53.20,53.63,14320100,53.63
2013-04-25,52.48,53.33,52.36,53.22,19142700,53.22
2013-04-24,52.00,52.12,51.17,51.80,14437000,51.80
2013-04-23,52.35,52.49,51.54,52.32,10363400,52.32
2013-04-22,52.20,52.29,51.89,52.19,11212700,52.19
2013-04-19,51.31,52.35,51.26,52.25,14594900,52.25
2013-04-18,51.05,51.67,50.77,50.91,18136400,50.91
2013-04-17,50.21,50.35,49.49,49.54,15233000,49.54
2013-04-16,50.80,51.15,50.33,50.46,14919100,50.46
2013-04-15,50.66,51.06,50.26,50.64,14449400,50.64
2013-04-12,50.49,50.86,50.44,50.86,9150300,50.86
2013-04-11,49.81,50.64,49.81,50.51,13298600,50.51
2013-04-10,49.47,49.86,49.30,49.86,7868300,49.86
2013-04-09,49.52,49.63,49.16,49.36,8307600,49.36
2013-04-08,48.99,49.43,48.77,49.43,11467000,49.43
2013-04-05,49.05,49.58,48.95,49.56,39951100,49.04
2013-04-04,49.00,49.31,48.73,49.30,37100800,48.79
2013-04-03,49.43,49.58,48.66,48.99,14373500,48.48
2013-04-02,49.53,49.86,49.26,49.50,12082000,48.99
2013-04-01,49.06,49.38,49.01,49.22,6926600,48.71
2013-03-28,48.99,49.19,48.90,49.15,13567000,48.64
2013-03-27,49.31,49.40,48.75,48.94,12927500,48.43
2013-03-26,49.38,49.59,49.16,49.48,11663200,48.97
2013-03-25,49.19,49.44,48.97,49.16,12634400,48.65
2013-03-22,48.93,49.15,48.72,49.02,9484700,48.51
2013-03-21,48.33,48.88,48.28,48.80,12547800,48.29
2013-03-20,49.06,49.17,48.53,48.60,15013900,48.09
2013-03-19,48.90,49.09,48.56,48.95,13781300,48.44
2013-03-18,47.96,49.15,47.96,48.75,14772500,48.24
2013-03-15,48.19,48.38,47.64,48.02,16834000,47.52
2013-03-14,48.17,48.66,48.05,48.48,10588000,47.98
2013-03-13,48.37,48.57,47.79,47.94,13040900,47.44
2013-03-12,47.71,48.55,47.59,48.36,12637300,47.86
2013-03-11,47.86,47.97,47.55,47.81,9540100,47.31
2013-03-08,47.72,47.98,47.67,47.96,9991800,47.46
2013-03-07,47.40,47.57,47.21,47.48,10584700,46.99
2013-03-06,47.80,47.86,47.14,47.28,12203800,46.79
2013-03-05,47.40,47.88,47.14,47.69,16390000,47.19
2013-03-04,46.70,47.11,46.59,47.11,9936900,46.62
2013-03-01,46.22,46.76,46.11,46.72,12749700,46.23
2013-02-28,46.35,46.93,46.30,46.53,17154700,46.05
2013-02-27,46.13,46.42,45.85,46.35,14803400,45.87
2013-02-26,45.92,46.21,45.81,46.12,18641800,45.64
2013-02-25,45.50,45.99,45.43,45.72,19945900,45.24
2013-02-22,45.23,45.44,44.72,45.40,18829500,44.93
2013-02-21,44.73,45.28,44.40,45.12,15118000,44.65
2013-02-20,44.35,45.21,44.34,44.92,23275400,44.45
2013-02-19,44.26,44.71,44.26,44.50,9638000,44.04
2013-02-15,44.39,44.62,44.16,44.40,11986200,43.94
2013-02-14,44.55,44.78,44.11,44.33,14665900,43.87
2013-02-13,44.54,44.70,44.28,44.52,7731800,44.06
