Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,52.18,54.10,51.79,53.29,3638400,53.29
2013-04-25,55.07,57.96,52.01,52.60,7535200,52.60
2013-04-24,53.59,54.53,52.39,52.90,3674100,52.90
2013-04-23,50.95,53.34,50.76,53.24,3477900,53.24
2013-04-22,50.00,50.79,49.33,50.51,1616300,50.51
2013-04-19,49.04,50.13,48.78,49.93,3180900,49.93
2013-04-18,50.98,51.07,48.88,49.25,3543700,49.25
2013-04-17,51.69,52.21,50.18,50.57,2253900,50.57
2013-04-16,51.68,52.63,51.42,52.03,2287900,52.03
2013-04-15,52.22,53.67,51.08,51.16,2554300,51.16
2013-04-12,52.41,52.94,51.91,52.32,1712600,52.32
2013-04-11,52.37,52.60,51.46,52.39,6565800,52.39
2013-04-10,51.75,53.75,51.68,53.21,3715100,53.21
2013-04-09,50.32,51.89,50.32,51.57,2205700,51.57
2013-04-08,49.75,50.32,49.60,50.23,1667100,50.23
2013-04-05,50.07,50.07,48.97,49.80,2368800,49.80
2013-04-04,50.60,50.96,49.89,50.78,1654100,50.78
2013-04-03,50.25,51.44,50.18,50.60,2920300,50.60
2013-04-02,50.55,50.65,49.04,50.07,2439000,50.07
2013-04-01,50.41,50.90,50.10,50.40,2167900,50.40
2013-03-28,49.99,50.36,49.44,50.29,2586300,50.29
2013-03-27,48.72,50.26,48.57,50.14,3257500,50.14
2013-03-26,47.84,49.97,47.58,48.68,3987200,48.68
2013-03-25,48.20,48.25,46.95,47.53,1953400,47.28
2013-03-22,48.39,48.42,47.32,47.93,2007800,47.68
2013-03-21,49.00,49.05,47.44,48.10,2671600,47.85
2013-03-20,49.48,49.60,48.89,49.33,2173800,49.07
2013-03-19,49.63,49.88,48.37,48.86,2432600,48.60
2013-03-18,49.62,50.22,49.05,49.60,1607600,49.34
2013-03-15,50.50,51.00,49.81,50.16,2743200,49.90
2013-03-14,50.43,50.84,50.19,50.72,1936100,50.45
2013-03-13,50.00,50.85,49.54,50.39,3449100,50.12
2013-03-12,48.15,50.00,47.59,49.99,3903000,49.73
2013-03-11,47.41,48.08,47.17,48.01,1781200,47.76
2013-03-08,47.57,47.82,47.02,47.66,3138000,47.41
2013-03-07,48.75,48.80,46.75,47.27,4092900,47.02
2013-03-06,48.63,49.58,48.59,48.83,3130500,48.57
2013-03-05,48.15,48.59,47.63,48.37,2461100,48.12
2013-03-04,48.18,48.23,47.24,47.81,2354200,47.56
2013-03-01,47.00,48.27,46.44,48.18,2663100,47.93
2013-02-28,46.91,47.74,46.77,47.16,1564900,46.91
2013-02-27,45.82,47.31,45.36,47.01,2538900,46.76
2013-02-26,44.99,46.05,44.44,45.87,3207500,45.63
2013-02-25,46.19,46.35,44.80,44.81,2129000,44.57
2013-02-22,46.09,46.58,45.56,45.90,1650200,45.66
2013-02-21,46.44,46.72,45.17,45.74,3186100,45.50
2013-02-20,48.68,48.71,46.52,46.54,2234500,46.30
2013-02-19,48.59,49.24,48.41,48.57,2100800,48.31
2013-02-15,48.89,49.23,48.04,48.59,2287700,48.33
2013-02-14,48.56,49.22,48.36,48.81,2032600,48.55
2013-02-13,48.36,48.90,48.25,48.63,1590500,48.37
2013-02-12,48.47,48.70,47.90,48.18,1644400,47.93
2013-02-11,48.58,48.80,48.16,48.60,2358700,48.34
2013-02-08,47.76,49.19,47.63,48.49,2914100,48.23
2013-02-07,47.70,47.83,46.47,47.60,3157600,47.35
2013-02-06,46.55,48.00,46.52,47.99,3549700,47.74
2013-02-05,46.37,47.00,46.02,46.63,3175900,46.38
2013-02-04,46.62,47.21,46.33,46.38,2986700,46.14
2013-02-01,47.40,47.89,46.17,46.77,3446200,46.52
2013-01-31,46.30,47.38,46.05,47.00,3866300,46.75
2013-01-30,46.18,47.04,46.11,46.85,3911500,46.60
2013-01-29,47.39,47.46,44.92,46.11,10305000,45.87
2013-01-28,47.95,49.50,47.61,48.64,4522300,48.38
2013-01-25,47.84,48.58,47.72,48.08,3379100,47.83
2013-01-24,47.25,49.42,46.41,47.79,7070200,47.54
2013-01-23,47.48,47.77,46.52,47.07,6161300,46.82
2013-01-22,45.12,47.58,44.96,47.36,9540700,47.11
2013-01-18,45.29,45.29,44.25,44.81,4277900,44.57
2013-01-17,45.31,45.65,45.06,45.22,2678000,44.98
2013-01-16,44.54,45.64,44.52,45.31,3406800,45.07
2013-01-15,44.16,44.93,43.80,44.84,3326900,44.60
2013-01-14,43.98,44.93,43.53,44.70,4370600,44.46
2013-01-11,44.19,44.50,43.90,43.98,2774500,43.75
2013-01-10,43.76,44.25,43.66,44.16,4324500,43.93
2013-01-09,42.60,43.96,42.49,43.80,5765700,43.57
2013-01-08,42.60,43.00,41.62,41.98,3800600,41.76
2013-01-07,42.62,43.46,42.50,42.90,3268500,42.67
2013-01-04,43.14,43.25,42.51,42.88,2735500,42.65
2013-01-03,43.21,43.89,42.88,43.02,2978300,42.79
2013-01-02,43.53,44.22,42.87,43.44,4426300,43.21
2012-12-31,41.43,42.64,41.25,42.49,2613800,42.27
2012-12-28,41.79,41.98,41.46,41.46,1547100,41.24
2012-12-27,42.02,42.23,41.43,42.07,2897200,41.85
2012-12-26,42.10,42.75,42.03,42.09,2370600,41.87
2012-12-24,41.90,41.99,41.33,41.81,1453300,41.59
2012-12-21,41.64,42.11,41.05,42.09,11471000,41.87
2012-12-20,40.85,42.33,40.75,42.16,7197000,41.94
2012-12-19,40.00,41.44,40.00,41.20,8658300,40.98
2012-12-18,38.43,39.69,38.20,39.60,5634900,39.39
2012-12-17,38.01,38.33,37.74,38.04,2830200,37.84
2012-12-14,37.76,37.92,37.44,37.78,2977500,37.58
2012-12-13,37.73,38.33,37.64,37.83,3008700,37.63
2012-12-12,37.55,38.19,37.30,37.86,4027400,37.66
2012-12-11,38.80,38.82,37.67,38.16,4718300,37.71
2012-12-10,37.68,39.00,37.54,38.45,4327500,38.00
2012-12-07,37.25,37.70,36.86,37.60,4353700,37.16
2012-12-06,36.10,37.24,35.99,37.10,5170200,36.66
2012-12-05,34.67,36.85,34.13,36.03,10307100,35.61
2012-12-04,33.40,33.77,33.20,33.59,4080700,33.19
2012-12-03,33.59,34.14,33.25,33.41,3445200,33.02
2012-11-30,33.90,34.24,33.40,33.43,4158900,33.04
2012-11-29,34.00,34.19,33.39,33.92,4269700,33.52
2012-11-28,34.45,34.61,33.53,33.90,4347400,33.50
2012-11-27,35.70,35.89,34.68,34.69,3360300,34.28
2012-11-26,35.05,35.83,34.77,35.81,2800700,35.39
2012-11-23,34.65,35.29,34.38,35.09,1397000,34.68
2012-11-21,34.23,34.48,34.02,34.38,2519600,33.98
2012-11-20,34.89,35.11,33.73,34.09,3405700,33.69
2012-11-19,34.91,35.34,34.75,35.00,2096700,34.59
2012-11-16,33.90,34.65,33.61,34.58,2928600,34.17
2012-11-15,33.97,34.35,33.66,33.85,2688700,33.45
2012-11-14,34.81,34.98,33.76,33.85,3114500,33.45
2012-11-13,34.44,35.12,34.06,34.68,2731300,34.27
2012-11-12,35.17,35.37,34.40,34.74,2093900,34.33
2012-11-09,34.81,35.63,34.76,35.11,2363000,34.70
2012-11-08,35.31,35.63,34.80,34.84,3160100,34.43
2012-11-07,36.77,36.78,35.27,35.30,3852000,34.88
2012-11-06,35.75,37.16,35.66,37.04,4532100,36.60
2012-11-05,34.95,35.93,34.94,35.56,2649800,35.14
2012-11-02,35.55,35.73,35.13,35.20,3538000,34.79
2012-11-01,34.30,35.56,34.30,35.41,3090200,34.99
2012-10-31,34.07,34.68,33.95,34.23,3670000,33.83
2012-10-26,34.33,34.73,33.93,34.12,3688100,33.72
2012-10-25,34.05,34.48,33.81,34.40,3318200,33.99
2012-10-24,34.29,34.45,33.50,33.76,4508300,33.36
2012-10-23,32.50,35.15,32.25,34.43,11557000,34.02
2012-10-22,35.15,35.53,34.68,35.28,3570600,34.86
2012-10-19,35.40,35.55,34.75,34.88,2958700,34.47
2012-10-18,36.12,36.24,35.49,35.55,2534700,35.13
2012-10-17,36.25,36.48,35.82,36.24,2311500,35.81
2012-10-16,35.94,36.57,35.92,36.35,2558300,35.92
2012-10-15,36.00,36.11,35.14,35.75,2592200,35.33
2012-10-12,35.59,36.17,35.26,36.02,4428700,35.60
2012-10-11,36.59,37.42,36.56,36.59,1860100,36.16
2012-10-10,37.13,37.42,36.29,36.37,2945800,35.94
2012-10-09,38.18,38.37,37.05,37.19,2932600,36.75
2012-10-08,37.91,38.67,37.71,38.34,2567300,37.89
2012-10-05,38.14,38.31,37.88,37.99,3452800,37.54
2012-10-04,37.72,38.31,37.26,37.99,2998400,37.54
2012-10-03,38.33,38.47,37.44,37.60,2901800,37.16
2012-10-02,38.50,38.71,37.81,38.17,2913200,37.72
2012-10-01,38.72,39.35,38.09,38.12,2928200,37.67
2012-09-28,39.37,39.49,38.54,38.73,3982100,38.27
2012-09-27,38.74,39.64,38.67,39.58,2672100,39.11
2012-09-26,39.30,39.43,38.27,38.61,3806700,38.16
2012-09-25,40.43,40.78,39.46,39.65,4656500,38.94
2012-09-24,39.70,40.36,39.35,40.02,5644700,39.30
2012-09-21,39.43,40.50,39.30,40.16,6877900,39.44
2012-09-20,38.90,39.33,38.55,39.07,3047300,38.37
2012-09-19,39.60,39.75,38.70,39.07,4294000,38.37
2012-09-18,39.46,39.90,39.02,39.36,5046900,38.65
2012-09-17,41.20,41.22,39.31,39.48,7117400,38.77
2012-09-14,43.45,44.30,40.56,41.06,10825100,40.32
2012-09-13,41.27,42.76,40.33,42.58,5563900,41.81
2012-09-12,42.05,42.97,41.29,41.48,4590700,40.73
2012-09-11,41.29,42.56,41.06,42.25,6042200,41.49
2012-09-10,41.64,42.17,41.14,41.18,4794700,40.44
2012-09-07,42.70,42.75,41.76,41.86,3585600,41.11
2012-09-06,41.25,43.20,40.96,43.11,4773100,42.33
2012-09-05,42.18,42.33,41.50,41.84,3058700,41.09
2012-09-04,42.08,42.68,41.71,42.32,2504500,41.56
2012-08-31,42.33,42.98,41.36,41.82,3663700,41.07
2012-08-30,43.23,43.24,41.83,42.10,4383100,41.34
2012-08-29,43.49,43.70,42.91,43.50,1535700,42.72
2012-08-28,43.44,43.76,42.87,43.50,2891900,42.72
2012-08-27,43.91,44.34,43.14,43.79,2136500,43.00
2012-08-24,43.45,43.74,42.96,43.63,3325300,42.84
2012-08-23,44.25,44.25,42.85,43.48,5281600,42.70
2012-08-22,44.28,44.73,43.66,44.50,3221400,43.70
2012-08-21,45.39,45.39,44.20,44.66,3182000,43.86
2012-08-20,45.44,45.51,44.77,45.32,2555300,44.50
2012-08-17,45.09,45.94,45.07,45.48,3408200,44.66
2012-08-16,44.26,45.47,44.18,45.41,4045600,44.59
2012-08-15,44.04,44.31,43.60,44.17,3497300,43.37
2012-08-14,44.40,44.75,43.80,44.00,4129600,43.21
2012-08-13,43.99,44.47,43.69,44.32,4155900,43.52
2012-08-10,42.90,44.16,42.60,43.99,4968400,43.20
2012-08-09,42.18,43.12,42.02,43.03,4000500,42.26
2012-08-08,41.63,42.49,41.31,41.86,4293100,41.11
2012-08-07,41.67,42.00,41.46,41.75,3553500,41.00
2012-08-06,41.09,41.49,40.66,41.25,2635600,40.51
2012-08-03,40.69,41.18,40.25,41.00,3795400,40.26
2012-08-02,39.19,40.47,38.92,39.90,3823200,39.18
2012-08-01,40.23,40.31,39.16,39.42,3602100,38.71
2012-07-31,39.36,40.44,39.08,39.77,5407700,39.05
2012-07-30,40.11,40.75,39.50,40.17,5878900,39.45
2012-07-27,39.23,40.07,38.70,39.92,7060100,39.20
2012-07-26,38.09,40.88,38.00,39.27,20812300,38.56
2012-07-25,31.73,32.76,31.42,32.47,7050400,31.89
2012-07-24,32.24,32.26,31.41,31.77,4369000,31.20
2012-07-23,31.48,32.46,31.16,32.28,3604800,31.70
2012-07-20,32.54,32.88,32.02,32.07,3713600,31.49
2012-07-19,33.70,33.72,32.50,32.71,4549800,32.12
2012-07-18,32.03,33.85,31.93,33.40,6545700,32.80
2012-07-17,31.89,32.14,31.50,31.97,4140400,31.39
2012-07-16,31.38,31.84,31.21,31.62,1989900,31.05
2012-07-13,31.50,31.73,31.20,31.58,2596000,31.01
2012-07-12,31.29,31.62,30.70,31.35,2562100,30.79
2012-07-11,31.96,32.28,31.30,31.50,3827300,30.93
2012-07-10,31.76,32.73,31.66,32.01,6883000,31.43
2012-07-09,30.86,31.69,30.75,31.53,4961000,30.96
2012-07-06,30.14,31.11,30.05,31.02,5743800,30.46
